name,accuracy,f1,confusion_matrix,training_time,epochs,min_loss,datetime,MAF method,dataset,breaks,mult_rules,all_losses,clustering_alg,label_for_dist
No name,0.816326531,0.805755396,"[[64  5]
 [22 56]]",2.376110077,10,0.2208056,23-04-24 18:15,,,,,,,
"gauusian, 3 single breaks",0.979591837,0.98089172,"[[67  2]
 [ 1 77]]",25.2563231,200,0.027125923,23-04-24 18:20,,,,,,,
"gauusian, 2 single breaks",0.986394558,0.987012987,"[[69  0]
 [ 2 76]]",20.94445658,200,0.035289455,23-04-24 18:21,,,,,,,
"gauusian, 3 single breaks",1,1,"[[69  0]
 [ 0 78]]",11.2601974,58,0.007966363,23-04-24 18:21,,,,,,,
"gauusian, 4 single breaks",1,1,"[[69  0]
 [ 0 78]]",3.55574894,23,0.003556332,23-04-24 18:21,,,,,,,
"gauusian, 5 single breaks",0.993197279,0.993548387,"[[69  0]
 [ 1 77]]",2.071189165,15,0.00182971,23-04-24 18:22,,,,,,,
"gauusian, 2 single breaks, add_mult_rules=True",0.986394558,0.987012987,"[[69  0]
 [ 2 76]]",21.70077634,200,0.029723754,23-04-24 18:29,,,,,,,
"gauusian, 3 single breaks, add_mult_rules=True",0.993197279,0.993548387,"[[69  0]
 [ 1 77]]",7.364891291,51,0.007706178,23-04-24 18:29,,,,,,,
"gauusian, 4 single breaks, add_mult_rules=True",0.993197279,0.993548387,"[[69  0]
 [ 1 77]]",4.455181837,22,0.003764165,23-04-24 18:29,,,,,,,
"gauusian, 5 single breaks, add_mult_rules=True",0.993197279,0.993548387,"[[69  0]
 [ 1 77]]",1.91073966,12,0.001912242,23-04-24 18:29,,,,,,,
"gauusian, 3 single breaks, add_mult_rules=False",0.986394558,0.987179487,"[[68  1]
 [ 1 77]]",24.88343787,200,0.024215603,23-04-24 18:59,,,,,,,
"gauusian, 3 single breaks, add_mult_rules=False,  maf_method=full",0.986394558,0.984375,"[[82  1]
 [ 1 63]]",23.04790711,200,0.031718243,23-04-24 19:40,,,,,,,
"gauusian, 3 single breaks, add_mult_rules=False,  maf_method=full",0.986394558,0.984375,"[[82  1]
 [ 1 63]]",25.10753369,200,0.031718243,23-04-24 20:43,,,,,,,
"gauusian, 3 single breaks, add_mult_rules=False,  maf_method=kmeans",0.986394558,0.984615385,"[[81  2]
 [ 0 64]]",8.685233116,90,0.011448848,23-04-24 21:30,,,,,,,
"gauusian, 3 single breaks, add_mult_rules=False,  maf_method=kmeans",0.993197279,0.993288591,"[[72  1]
 [ 0 74]]",9.197308779,94,0.012058887,23-04-24 21:32,,,,,,,
"gauusian, 3 single breaks, add_mult_rules=False,  maf_method=kmeans",0.993197279,0.993288591,"[[72  1]
 [ 0 74]]",8.55616951,92,0.012135392,23-04-24 21:32,,,,,,,
"gauusian, 3 single breaks, add_mult_rules=False,  maf_method=random",1,1,"[[72  0]
 [ 0 75]]",20.68596554,200,0.027592817,23-04-24 21:32,,,,,,,
"gauusian, 3 single breaks, add_mult_rules=False,  maf_method=random",0.993197279,0.993288591,"[[72  1]
 [ 0 74]]",33.48119164,275,0.020102851,23-04-24 21:35,,,,,,,
"gauusian, 3 single breaks, add_mult_rules=False,  maf_method=kmeans",0.979591837,0.977099237,"[[80  3]
 [ 0 64]]",8.995347977,93,0.009511063,23-04-24 21:35,,,,,,,
"kmeans_breast-cancer-wisconsin.csv, 3 single breaks, maf_method=kmeans",1,0,[[62]],0.328294992,4,9.01E-10,24-04-24 1:32,,,,,,,
